"Label (Grouping)","Honolulu County, Hawaii"
"Total:","1,016,508"
"    Population of one race:","767,822"
"        White alone","188,462"
"        Black or African American alone","20,723"
"        American Indian and Alaska Native alone","2,278"
"        Asian alone","436,853"
"        Native Hawaiian and Other Pacific Islander alone","102,099"
"        Some Other Race alone","17,407"
"    Population of two or more races:","248,686"
"        Population of two races:","156,020"
"            White; Black or African American","3,979"
"            White; American Indian and Alaska Native","5,878"
"            White; Asian","52,097"
"            White; Native Hawaiian and Other Pacific Islander","21,502"
"            White; Some Other Race","12,294"
"            Black or African American; American Indian and Alaska Native","602"
"            Black or African American; Asian","2,467"
"            Black or African American; Native Hawaiian and Other Pacific Islander","1,463"
"            Black or African American; Some Other Race","776"
"            American Indian and Alaska Native; Asian","714"
"            American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","544"
"            American Indian and Alaska Native; Some Other Race","277"
"            Asian; Native Hawaiian and Other Pacific Islander","50,621"
"            Asian; Some Other Race","2,151"
"            Native Hawaiian and Other Pacific Islander; Some Other Race","655"
"        Population of three races:","80,438"
"            White; Black or African American; American Indian and Alaska Native","1,049"
"            White; Black or African American; Asian","1,132"
"            White; Black or African American; Native Hawaiian and Other Pacific Islander","681"
"            White; Black or African American; Some Other Race","444"
"            White; American Indian and Alaska Native; Asian","2,966"
"            White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","1,186"
"            White; American Indian and Alaska Native; Some Other Race","660"
"            White; Asian; Native Hawaiian and Other Pacific Islander","67,000"
"            White; Asian; Some Other Race","1,910"
"            White; Native Hawaiian and Other Pacific Islander; Some Other Race","625"
"            Black or African American; American Indian and Alaska Native; Asian","175"
"            Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","79"
"            Black or African American; American Indian and Alaska Native; Some Other Race","45"
"            Black or African American; Asian; Native Hawaiian and Other Pacific Islander","1,017"
"            Black or African American; Asian; Some Other Race","68"
"            Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race","20"
"            American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","681"
"            American Indian and Alaska Native; Asian; Some Other Race","41"
"            American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
"            Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","659"
"        Population of four races:","10,909"
"            White; Black or African American; American Indian and Alaska Native; Asian","502"
"            White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","231"
"            White; Black or African American; American Indian and Alaska Native; Some Other Race","253"
"            White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander","1,644"
"            White; Black or African American; Asian; Some Other Race","96"
"            White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race","47"
"            White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","5,598"
"            White; American Indian and Alaska Native; Asian; Some Other Race","203"
"            White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","50"
"            White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","2,046"
"            Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","165"
"            Black or African American; American Indian and Alaska Native; Asian; Some Other Race","17"
"            Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","2"
"            Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","41"
"            American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","14"
"        Population of five races:","1,264"
"            White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","722"
"            White; Black or African American; American Indian and Alaska Native; Asian; Some Other Race","101"
"            White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","13"
"            White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","112"
"            White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","303"
"            Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","13"
"        Population of six races:","55"
"            White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","55"